datetime,code,open,close,high,low,vol,amount
2017/4/18 9:55,300,3476.74,3476.94,3477.3,3474.77,333452.1,3334523904
2017/4/18 9:50,300,3476.06,3477.29,3477.43,3475.79,320208.62,3202088960
2017/4/18 9:45,300,3479.92,3475.84,3479.92,3475.32,369712.96,3697132544
2017/4/18 9:40,300,3475.6,3479.69,3479.86,3475.59,371469.84,3714700800
2017/4/18 9:35,300,3474.89,3475.2,3475.81,3473.71,645670.28,6456705536
2017/4/17 15:00,300,3476.97,3479.94,3480.45,3476.59,456797.88,4567982080
2017/4/17 14:55,300,3479.17,3476.5,3479.25,3476.5,308154.88,3081551872
2017/4/17 14:50,300,3471.47,3479.15,3479.93,3470.57,349866.88,3498672128
2017/4/17 14:45,300,3468.96,3471.7,3474.09,3468.96,272985.84,2729861120
2017/4/17 14:40,300,3463.82,3468.93,3469.9,3462.14,339476.2,3394764800
2017/4/17 14:35,300,3466.74,3463.35,3467.76,3463.35,189515.88,1895161856
2017/4/17 14:30,300,3464.09,3467.31,3467.31,3463.47,183520.16,1835204608
2017/4/17 14:25,300,3464.74,3463.6,3464.74,3462.44,186500.4,1865007104
2017/4/17 14:20,300,3467.34,3464.7,3467.73,3464.54,166158.09,1661583360
2017/4/17 14:15,300,3467.71,3467.65,3468.2,3467.22,136117.19,1361174528
2017/4/17 14:10,300,3466.26,3468.04,3468.33,3465.9,137897.28,1378975744
2017/4/17 14:05,300,3466.69,3465.49,3466.69,3463.65,142183.33,1421836288
2017/4/17 14:00,300,3464.52,3466.79,3467.16,3464.48,146010.64,1460109312
2017/4/17 13:55,300,3463.54,3464.46,3464.62,3463.11,131342.04,1313423360
2017/4/17 13:50,300,3465.69,3463.81,3465.97,3463.62,134128.16,1341284352
2017/4/17 13:45,300,3466.57,3465.7,3467.28,3465.27,143878.29,1438785536
2017/4/17 13:40,300,3465.24,3466.68,3467.77,3465.24,246166.88,2461671424
2017/4/17 13:35,300,3454.08,3465.13,3465.4,3453.73,263584.68,2635849728
2017/4/17 13:30,300,3455.87,3454.2,3455.97,3454.04,170509.68,1705099264
2017/4/17 13:25,300,3459.49,3455.94,3459.49,3455.59,139366.1,1393664000
2017/4/17 13:20,300,3459.88,3459.81,3460.94,3459.16,129735.65,1297358848
2017/4/17 13:15,300,3460.43,3459.99,3461.57,3459.98,131171.67,1311719424
2017/4/17 13:10,300,3457.32,3460.42,3460.93,3457.32,127520.46,1275207680
2017/4/17 13:05,300,3455.71,3457.44,3457.64,3454.59,211713.76,2117140480
2017/4/17 11:30,300,3458.33,3455.75,3458.41,3454.92,285431.1,2854313984
2017/4/17 11:25,300,3463.5,3458.82,3463.66,3458.15,266656.72,2666569728
2017/4/17 11:20,300,3466.47,3463.88,3466.47,3463.4,198741.76,1987420160
2017/4/17 11:15,300,3467.97,3466.25,3468.01,3465.12,238265.26,2382655488
2017/4/17 11:10,300,3470.17,3467.97,3470.43,3467.97,205973.24,2059735040
2017/4/17 11:05,300,3472.01,3470.7,3472.38,3470.58,151646.3,1516466176
2017/4/17 11:00,300,3471.41,3472.03,3472.03,3471.02,150650.6,1506508800
2017/4/17 10:55,300,3468.67,3471.43,3472.26,3468.48,199871,1998712832
2017/4/17 10:50,300,3472.03,3468.66,3472.07,3468.55,209693.22,2096934912
2017/4/17 10:45,300,3474.43,3472.17,3474.65,3471.96,175855.72,1758560256
2017/4/17 10:40,300,3474.06,3474.39,3474.86,3473.8,154944.04,1549443072
2017/4/17 10:35,300,3472.9,3474.01,3474.53,3471.54,211807.56,2118078464
