datetime,code,open,close,high,low,vol,amount
2017-03-29 09:40:00,000300,3476.76,3474.07,3477.4,3474.07,372766.8,3727670784.0
2017-03-29 09:35:00,000300,3472.97,3476.6,3477.49,3472.97,553693.28,5536935424.0
2017-03-28 15:00:00,000300,3469.77,3469.81,3470.34,3468.97,280357.8,2803580928.0
2017-03-28 14:55:00,000300,3470.88,3470.17,3470.88,3469.97,249527.24,2495275008.0
2017-03-28 14:50:00,000300,3470.46,3470.51,3471.08,3469.77,206792.0,2067922944.0
2017-03-28 14:45:00,000300,3469.74,3470.01,3470.23,3469.3,178469.0,1784692736.0
2017-03-28 14:40:00,000300,3470.77,3469.54,3470.87,3469.47,170652.2,1706524672.0
2017-03-28 14:35:00,000300,3472.69,3470.69,3472.96,3470.65,178506.68,1785069568.0
2017-03-28 14:30:00,000300,3470.8,3472.48,3472.48,3469.83,151541.03,1515413504.0
2017-03-28 14:25:00,000300,3471.36,3470.23,3471.95,3469.85,150753.01,1507532800.0
2017-03-28 14:20:00,000300,3471.08,3471.78,3472.52,3470.86,173448.92,1734492160.0
2017-03-28 14:15:00,000300,3469.21,3470.45,3471.2,3468.82,158514.91,1585152000.0
2017-03-28 14:10:00,000300,3465.66,3468.97,3469.31,3465.39,191082.24,1910824960.0
2017-03-28 14:05:00,000300,3463.82,3465.17,3465.49,3462.62,155718.17,1557184512.0
2017-03-28 14:00:00,000300,3464.9,3463.53,3464.9,3463.09,144339.45,1443397632.0
2017-03-28 13:55:00,000300,3463.29,3464.49,3464.59,3462.88,139657.75,1396580352.0
2017-03-28 13:50:00,000300,3461.91,3463.35,3463.64,3461.7,181864.56,1818648576.0
2017-03-28 13:45:00,000300,3465.91,3461.85,3466.11,3461.58,240799.04,2407993344.0
2017-03-28 13:40:00,000300,3468.21,3466.45,3468.56,3466.27,143153.68,1431539712.0
2017-03-28 13:35:00,000300,3466.16,3467.84,3468.2,3465.54,133648.06,1336483840.0
2017-03-28 13:30:00,000300,3464.84,3466.22,3466.64,3464.27,168317.46,1683177472.0
2017-03-28 13:25:00,000300,3468.85,3464.76,3469.02,3464.76,170292.94,1702932480.0
2017-03-28 13:20:00,000300,3470.57,3468.57,3470.69,3468.57,119827.8,1198280704.0
2017-03-28 13:15:00,000300,3469.68,3469.99,3470.52,3468.94,134139.21,1341394944.0
2017-03-28 13:10:00,000300,3470.59,3469.73,3470.84,3469.18,122359.91,1223602176.0
2017-03-28 13:05:00,000300,3471.29,3470.09,3471.91,3469.97,137153.46,1371537408.0
2017-03-28 11:30:00,000300,3472.55,3471.49,3472.72,3470.8,109921.24,1099214848.0
2017-03-28 11:25:00,000300,3474.55,3472.88,3474.55,3472.36,130538.83,1305391104.0
2017-03-28 11:20:00,000300,3473.5,3474.23,3474.95,3473.14,163375.26,1633755136.0
2017-03-28 11:15:00,000300,3473.25,3473.33,3473.88,3471.94,161305.5,1613058048.0
2017-03-28 11:10:00,000300,3473.01,3473.53,3474.04,3472.9,159923.59,1599238144.0
2017-03-28 11:05:00,000300,3473.57,3473.17,3474.09,3472.45,150609.22,1506095104.0
2017-03-28 11:00:00,000300,3472.64,3473.63,3474.74,3472.64,197088.6,1970888704.0
2017-03-28 10:55:00,000300,3465.98,3472.56,3472.69,3465.76,235542.68,2355429376.0
2017-03-28 10:50:00,000300,3469.05,3466.03,3469.58,3465.95,193635.64,1936359424.0
2017-03-28 10:45:00,000300,3470.57,3468.93,3471.07,3468.93,174424.24,1744244736.0
